"Name","Runtime","architecture","batch_size","constraint_approach","lr","num_epochs","weight_decay","best_epoch","best_train_r2","best_train_rmse_round","best_val_r2","best_val_rmse_round","train/epoch","train/r2_mean","train/rmse_round","train/train_loss","val/epoch","val/r2_mean","val/rmse_round","val/val_loss"
"vivid-sweep-24","210","resnet34","128","clamp","0.0003","20","0","19","0.4074505567550659","27.706867218017575","0.43500447273254395","28.44030380249023","19","0.4074505567550659","27.706867218017575","27.711877822875977","19","0.43500447273254395","28.44030380249023","28.448991775512695"
"twilight-sweep-19","365","vgg19","128","clamp","0.0001","20","0","16","0.4634683430194855","22.35578155517578","0.4738845229148865","28.925594329833984","19","0.4921155869960785","21.518165588378903","21.514301300048828","19","0.522741436958313","29.47758102416992","29.483444213867188"
"daily-sweep-22","207","resnet34","128","intrapolation","0.0003","20","0","19","0.39968904852867126","28.211828231811523","0.5043432712554932","28.973220825195312","19","0.39968904852867126","28.211828231811523","28.204988479614254","19","0.5043432712554932","28.973220825195312","28.96412467956543"
"warm-sweep-2","110","linear_regression","128","intrapolation","0.0003","20","0","17","0.06911394745111465","30.35857582092285","0.06904509663581848","29.097057342529297","19","0.07084101438522339","30.42387580871582","30.423908233642575","19","0.07598549127578735","29.147762298583984","29.149654388427734"
"apricot-sweep-15","170","alexnet","128","clamp","0.0001","20","0","17","0.5471466183662415","26.16598129272461","0.6611888408660889","29.16876792907715","19","0.5496389269828796","26.184585571289062","26.186506271362305","19","0.7327251434326172","29.911544799804688","29.905311584472656"
"polar-sweep-10","110","lenet5","128","intrapolation","0.0003","20","0","15","0.026232002303004265","30.290149688720703","0.02836579643189907","29.306774139404297","19","0.026116957888007164","30.242809295654297","30.23891830444336","19","0.03610615059733391","29.354198455810547","29.35411262512207"
"mild-sweep-9","114","lenet5","128","intrapolation","0.0001","20","0","19","0.016405904665589333","30.395673751831055","0.03242029249668121","29.45758819580078","19","0.016405904665589333","30.395673751831055","30.39725875854492","19","0.03242029249668121","29.45758819580078","29.451509475708008"
"dry-sweep-13","166","alexnet","128","intrapolation","0.0001","20","0","18","0.540148138999939","26.063961029052734","0.6180663108825684","29.484399795532227","19","0.5364543795585632","26.073713302612305","26.079362869262695","19","0.6283049583435059","29.328657150268555","29.33921813964844"
"flowing-sweep-5","108","mlp","128","intrapolation","0.0001","20","0","18","0.06573138386011124","30.66346549987793","0.06203591078519821","29.504552841186523","19","0.06287631392478943","30.625181198120117","30.619739532470703","19","0.08919959515333176","29.819347381591797","29.81890106201172"
"rare-sweep-6","110","mlp","128","intrapolation","0.0003","20","0","19","0.06165451928973198","30.427736282348633","0.07010089606046677","29.54213523864746","19","0.06165451928973198","30.427736282348633","30.42698097229004","19","0.07010089606046677","29.54213523864746","29.55634307861328"
"rich-sweep-17","364","vgg19","128","intrapolation","0.0001","20","0","18","0.4719187915325165","21.780677795410156","0.4733402132987976","29.579118728637695","19","0.4827543795108795","21.34539794921875","21.33859062194824","19","0.5404576063156128","30.24748420715332","30.239147186279297"
"devoted-sweep-1","107","linear_regression","128","intrapolation","0.0001","20","0","19","0.05173146724700928","30.618757247924805","0.07715539634227753","29.60015296936035","19","0.05173146724700928","30.618757247924805","30.615203857421875","19","0.07715539634227753","29.60015296936035","29.610063552856445"
"swept-sweep-18","362","vgg19","128","intrapolation","0.0003","20","0","18","0.6753080487251282","19.093568801879883","0.5472459197044373","29.809730529785156","19","0.7256622910499573","19.27038955688477","19.26773452758789","19","0.5720828771591187","29.649545669555664","29.652597427368164"
"lucky-sweep-20","367","vgg19","128","clamp","0.0003","20","0","17","0.7060520648956299","19.700271606445312","0.534031331539154","29.983659744262695","19","0.7258114814758301","19.035064697265625","19.036476135253903","19","0.6496193408966064","31.17693328857422","31.167865753173828"
"volcanic-sweep-14","169","alexnet","128","intrapolation","0.0003","20","0","7","0.6256019473075867","28.05879783630371","0.6289501190185547","30.524494171142575","19","0.6061114072799683","23.545652389526367","23.53860855102539","19","0.6775500774383545","30.54686164855957","30.530385971069336"
"lyric-sweep-16","168","alexnet","128","clamp","0.0003","20","0","10","0.636897623538971","26.40235710144043","0.6654393672943115","30.637496948242188","19","0.627213716506958","23.654470443725582","23.65256118774414","19","0.7144169807434082","30.737857818603516","30.74663734436035"
"sandy-sweep-21","206","resnet34","128","intrapolation","0.0001","20","0","19","0.37293946743011475","30.977535247802734","0.45254039764404297","31.29726219177246","19","0.37293946743011475","30.977535247802734","30.961414337158203","19","0.45254039764404297","31.29726219177246","31.29789161682129"
"efficient-sweep-23","208","resnet34","128","clamp","0.0001","20","0","19","0.3315978944301605","31.99531364440918","0.41488468647003174","31.53706169128418","19","0.3315978944301605","31.99531364440918","31.997655868530273","19","0.41488468647003174","31.53706169128418","31.529340744018555"
"eager-sweep-8","110","mlp","128","clamp","0.0003","20","0","17","0.07609758526086807","30.893491744995117","0.18850485980510712","31.574901580810547","19","0.07631752640008926","30.849430084228516","30.85070419311523","19","0.18726155161857605","31.59065818786621","31.5743408203125"
"effortless-sweep-7","108","mlp","128","clamp","0.0001","20","0","11","0.09190704673528673","31.074689865112305","0.18928077816963196","31.651954650878903","19","0.08399037271738052","31.01039123535156","31.010814666748047","19","0.20567451417446136","31.88819122314453","31.86641502380371"
"golden-sweep-12","112","lenet5","128","clamp","0.0003","20","0","13","0.08763096481561661","31.173025131225582","0.18587450683116913","31.771289825439453","19","0.08320718258619308","31.081300735473633","31.085792541503903","19","0.2047421783208847","31.94867706298828","31.95390892028809"
